reception_time,mmsi,latitude,longitude,is_in_zone,speed_over_ground,course_over_ground,message_type
2025-11-02 00:00:40+00,257819000,59.583617,10.618267,True,0.0,310.0,3
2025-11-02 00:00:41+00,258144500,59.475995,10.687557,False,0.0,,1
2025-11-02 00:00:45+00,257100550,59.546785,10.572363,False,0.0,,18
2025-11-02 00:00:48+00,636019292,59.514218,10.580618,False,14.5,204.4,1
2025-11-02 00:01:06+00,257267400,59.49228,10.380015,False,0.0,,3
2025-11-02 00:01:50+00,258144500,59.475995,10.687582,False,0.0,,1
2025-11-02 00:01:53+00,636019292,59.510048,10.578305,False,14.1,192.5,1
2025-11-02 00:02:32+00,258003500,59.546333,10.571943,False,0.0,349.2,18
2025-11-02 00:02:54+00,636019292,59.506162,10.576843,False,14.3,190.8,1
2025-11-02 00:02:59+00,258144500,59.476005,10.687558,False,0.0,,1
2025-11-02 00:03:03+00,257267400,59.492287,10.379993,False,0.0,,3
2025-11-02 00:03:39+00,257819000,59.583617,10.618267,True,0.0,258.0,3
2025-11-02 00:03:44+00,257100550,59.54678,10.572363,False,0.3,56.0,18
2025-11-02 00:04:00+00,636019292,59.501887,10.575245,False,14.4,190.6,1
2025-11-02 00:04:10+00,258144500,59.475997,10.687568,False,0.0,,1
2025-11-02 00:04:34+00,257101500,59.608143,10.409575,False,0.0,,18
2025-11-02 00:05:06+00,636019292,59.497545,10.57371,False,14.4,190.3,1
2025-11-02 00:05:20+00,258144500,59.47599,10.687552,False,0.0,,1
2025-11-02 00:05:33+00,258003500,59.546325,10.571955,False,0.1,349.2,18
2025-11-02 00:06:11+00,636019292,59.493257,10.57223,False,14.5,190.2,1
2025-11-02 00:06:29+00,258144500,59.475992,10.68754,False,0.0,,1
2025-11-02 00:06:41+00,257819000,59.583617,10.61825,True,0.0,178.0,3
2025-11-02 00:07:04+00,257267400,59.492287,10.380005,False,0.0,,3
2025-11-02 00:07:17+00,636019292,59.488833,10.570688,False,14.5,190.0,1
2025-11-02 00:07:34+00,257101500,59.608103,10.409615,False,0.0,,18
2025-11-02 00:07:41+00,258144500,59.475998,10.687553,False,0.0,,1
2025-11-02 00:08:24+00,636019292,59.484473,10.56916,False,14.4,190.1,1
2025-11-02 00:08:32+00,258003500,59.546333,10.571945,False,0.0,349.2,18
